stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,tts_stop_name
71750,40408,Dominican University Grand Av & Acacia Av,,37.979515,-122.515854,,,0,,,1,,Dominican University Grand Avenue & Acacia Avenue
71821,40409,Grand Av & Acacia Way,,37.979481,-122.515656,,,0,,,1,,Grand Avenue & Acacia Way
71756,40410,Grand Av & Jewell St,,37.977005,-122.516891,,,0,,,,,Grand Avenue & Jewell Street
71815,40411,Grand Av & Jewell St,,37.977028,-122.516747,,,0,,,1,,Grand Avenue & Jewell Street
71764,40412,Grand Av & Belle Av,,37.975269,-122.518585,,,0,,,1,,Grand Avenue & Belle Avenue
71809,40413,Grand Av & Belle Av,,37.974697,-122.518234,,,0,,,1,,Grand Avenue & Belle Avenue
2498718,40414,2nd St & Grand Ave,,37.970277,-122.519689,,,0,,,1,,2nd Street & Grand Avenue
233589,40416,4th St & Ross Valley Dr,,37.976134,-122.550183,,,0,,,,,4th Street & Ross Valley Drive
232640,40418,4th St & Santa Margarita Ave,,37.976341,-122.549862,,,0,,,1,,4th Street & Santa Margarita Avenue
232631,40419,4th St & Greenfield Ave,,37.975151,-122.544324,,,0,,,1,,4th Street & Greenfield Avenue
233595,40420,4th St & Greenfield Ave,,37.974867,-122.544204,,,0,,,,,4th Street & Greenfield Avenue
526434,40421,4th St & Ida St,,37.974178,-122.538091,,,0,,,1,,4th Street & Ida Street
526435,40422,4th St & Ida St,,37.974083,-122.538222,,,0,,,1,,4th Street & Ida Street
526436,40423,4th St & E St,,37.973572,-122.533046,,,0,,,1,,4th Street & East Street
526433,40424,4th St & E St,,37.973725,-122.533439,,,0,,,1,,4th Street & East Street
526432,40425,4th St & C St,,37.973509,-122.530932,,,0,,,1,,4th Street & C Street
526437,40426,4th St & C St,,37.973362,-122.530535,,,0,,,1,,4th Street & C Street
526431,40427,4th St & Court St,,37.97312,-122.527396,,,0,,,1,,4th Street & Court Street
526438,40428,4th St & Court St,,37.972973,-122.527,,,0,,,1,,4th Street & Court Street
71781,40429,3rd St & Grand Ave,,37.971031,-122.519012,,,0,,,1,,3rd Street & Grand Avenue
2498723,40445,Kerner Blvd & Canal St,,37.967434,-122.499901,,,0,,,1,,Kerner Boulevard & Canal Street
